219,Portugal,Instituto Politécnico de Portalegre
220,Uganda,Bugema University
221,Ukraine,Ternopil State Ivan Pul'uj Technical University
222,Pakistan,"Federal Urdu University of Arts,Science and Technology"
223,Portugal,Instituto Superior D. Afonso III - INUAF
224,Ukraine,Ukrainian Medical Stomatological Academy
225,Indonesia,Universitas Nusa Cendana
226,Poland,Technical University of Radom
227,Democratic Republic of the Congo,Université de Lubumbashi
228,China,Dongbei University of Finance And Economics
229,China,South China Normal University
230,Indonesia,Institut Teknologi Telkom
231,Ukraine,Lviv National Medical Univeristy
232,Brazil,Universidade de Tocantins
233,Indonesia,Universitas Mahendradatta
234,China,Xi'an International Studies University
235,China,Xinghai Conservatory of Music
236,China,Zhongshan University
237,Sweden,Karolinska Institute Stockholm
238,Indonesia,Universitas Bung Hatta
239,United States,Savannah State University
240,Philippines,University of the Philippines Mindanao
241,Israel,Ashkelon Academic College
242,China,Guangdong Radio & TV University
243,China,Shihezi University 
244,Netherlands,UNESCO-IHE Institute for Water Education
245,United States,Roosevelt University
246,Indonesia,Universitas Muhammadiyah Yogyakarta
247,Finland,EVTEK University of Applied Sciences
248,Indonesia,Universitas Sumatera Utara
249,Japan,Higashi Nippon International University
250,Philippines,Lyceum of the Philippines University
251,Russia,Novosibirsk State Music Academy M. Glinka
252,China,Tibet Tibetan Medical College
253,Malaysia,Melaka Islamic University College
254,China,South West University Yucai College
255,Azerbaijan,Ganja State University 
256,Poland,Technical University of Poznan
257,Sweden,Lulea University of Technology
258,Portugal,Instituto Politécnico de Portalegre
259,Paraguay,Universidad Privada del Este
260,China,Shanghai Ocean University
261,Indonesia,Universitas Paramadina Mulya
262,Mexico,Universidad Salesiana
263,Japan,Baika Women's College
264,China,Guangdong Peizheng College 
265,Poland,Agricultural University of Warsaw
266,Ukraine,Lviv National Medical Univeristy
267,China,Hunan Normal University
268,Poland,Gdynia Maritime Academy
269,France,Université de Technologie de Belfort Montbéliard
270,Estonia,Tallinn University
271,Yemen,Saba University
272,Greece,City University Athens
273,Bolivia,Universidad Nuestra Senora de La Paz
274,Philippines,De La Salle University
275,Kyrgyzstan,Kyrgyz National Agrarian University
276,China,Southwest Forestry University
277,Hungary,University of West Hungary
278,Canada,Ontario College of Art and Design
279,China,Central University for Nationalities
280,China,Xinjiang University of Finance and Economics
281,Colombia,Universidad ICESI
282,China,Zhejiang University
283,Germany,Evangelische Fachhochschule Nürnberg
284,Sweden,Free University Stockholm
285,Russia,Russian State Medical University
286,Sweden,Kalmar University College
287,Russia,Voronezh State Academy of Technology
288,China,Anhui University of Finance and Economics
289,Japan,Kyushu Dental College
290,Indonesia,Universitas Nasional Jakarta
291,Chile,Universidad Maritima de Chile
292,China,Tibet Tibetan Medical College
293,United States,Illinois School of Professional Psychology - Chicago Campus
294,Ukraine,Ukrainian Medical Stomatological Academy
295,Russia,Voronezh State Pedagogical University
296,Afghanistan,Ibn Sina University
297,Bosnia and Herzegovina,University Vitez In Travnik
298,Brazil,Universidade de Marília
299,Czech Republic,Technical University of Mining and Metallurgy Ostrava
300,Russia,Dagestan State University
301,Ukraine,Odessa National Academy of Food Technologies
302,Canada,University of Québec
303,Japan,Gakushuin University
304,Portugal,Universidade Nova de Lisboa
305,Mauritius,University of Technology
306,Liberia,University of Liberia
307,Russia,St. Petersburg State University of Telecommunication
308,China,Zhengda Software College
309,Costa Rica,Universidad para la Cooperación Internacional
310,Ireland,National University of Ireland
311,Peru,Universidad Nacional de Santa - Chimbote
312,Brazil,Universidade Católica de Brasília
313,China,Qinghai Radio & Television University
314,Indonesia,Universitas Slamet Riyadi Surakarta
315,China,Chongqing University of Communications
316,Japan,Joetsu University of Education
317,Greece,Technological Education Institute of Lamia
318,Russia,Smolensk Humanitarian University
319,China,Guangzhou University of Traditional Chinese Medicine
320,Ukraine,National University of Shipbuilding
321,Philippines,University of Asia and the Pacific
322,Thailand,University of the Thai Chamber of Commerce
323,Canada,Brandon University
324,Ukraine,Kherson State University
325,Portugal,Instituto Politécnico de Tomar
326,Sweden,Gotland University College
327,Namibia,Polytechnic of Namibia
328,China,Hebei Normal University
329,Japan,Nihon University
330,Argentina,Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló
331,Greece,University of Athens
332,China,Hebei Normal University
333,Thailand,Yonok University
334,China,2nd Military Medical University
335,Portugal,Universidade Catolica Portuguesa
336,China,Neijiang Teacher University
337,Indonesia,Universitas Kristen Indonesia
338,Brazil,Universidade do Sul de Santa Catarina
339,United States,Deaconess College of Nursing
340,Lithuania,Siauliai University
341,Thailand,Lampang Vocational College   
342,China,Hebei University of Science and Technology
343,China,Shantou University
344,Belarus,Grodno State University Yanka Kupaly
345,Philippines,Mountain View College
346,China,Guizhou Normal University
347,Mexico,Universidad Tecnologica de Nezahualcoyotl
348,Indonesia,Universitas Ibn Chaldun Jakarta
349,China,Northwest A&F University
350,China,Tibet Tibetan Medical College
351,Brazil,Universidade Federal de Santa Catarina
352,Philippines,University of the Visayas
353,China,Jimei University
354,Thailand,Maejo University
355,Japan,Fukushima Medical College
356,Brazil,Universidade Federal Rural do Rio de Janeiro
357,Indonesia,Universitas Bojonegoro
358,China,Northwest A&F University
359,United States,"Troy University, Dothan"
360,South Korea,Kaya University
361,China,Chongqing Normal University
362,Ukraine,National Pirogov Memorial Medical University
363,United Kingdom,University of Worcester
364,China,Nanjing Forestry University
365,Thailand,Thaksin University
366,Ukraine,Luhansk Taras Shevchenko National Pedagogical University
367,Russia,Russian State Medical University
368,Brazil,Centro Universitário Claretiano
369,Russia,St. Petersburg State University of Engineering and Economics
370,Indonesia,Universitas Padjadjaran
371,Peru,Universidad Nacional Hermilio Valdizan
372,Philippines,Saint Louis College
373,United Kingdom,University of Bedfordshire
374,Brazil,Universidade Paulista
375,Russia,Kuban State University
376,Indonesia,Universitas Kristen Indonesia Tomohon
377,Vietnam,Hue University
378,United States,Virginia Union University
379,Tajikistan,Tajik National University
380,Philippines,University of the Philippines Baguio
381,Peru,Universidad Nacional Agraria de la Selva
382,United States,"DeVry Institute of Technology, Columbus"
383,China,Chongqing Wenli University
384,Netherlands,NTI University
385,Argentina,Universidad Nacional de Quilmes
386,Indonesia,Universitas Pembangunan Panca Budi
387,China,Chongqing University of Communications
388,Indonesia,Universitas Muslim Indonesia
389,China,Jiangxi Normal University
390,Indonesia,Universitas Airlangga
391,Yemen,University of Aden
392,Canada,Brandon University
393,Ireland,Dublin Institute for Advanced Studies
394,Nigeria,University of Ibadan
395,Armenia,Armenian State University of Economics
396,Nigeria,Landmark University
397,Brazil,Universidade de Cruz Alta
398,France,Université de La Rochelle
399,Colombia,Universidad Industrial de Santander
400,Brazil,Universidade Regional Integrada do Alto Uruguai e das Missões
401,Madagascar,Université de Toliary
402,Costa Rica,Universidad del Turismo
403,Finland,Oulu Polytechnic
404,Brazil,Universidade Federal de Pelotas
405,Thailand,Prince of Songkla University
406,Palestinian Territory,Arab American University - Jenin
407,Syria,Al-Baath University
408,Philippines,Aquinas University
409,Russia,Tver State University
410,Russia,Nevsky Institute of Language and Culture
411,China,Shanghai Television University
412,Ukraine,Ivano-Frankivsk National University of Oli and Gas
413,Ethiopia,Assosa University
414,Indonesia,Universitas Trisakti
415,China,Jiangxi University of Traditional Chinese Medicine
416,China,Tianjin University of Finance & Economics
417,Afghanistan,Kabul Education University
418,Tanzania,Kilimanjaro Christian Medical College
419,Czech Republic,Masaryk University
420,South Africa,University of Pretoria
421,South Korea,Mokwon University Taejon
422,Czech Republic,University of Economics Prague
423,Honduras,Universidad Católica de Honduras
424,China,Wuyi University
425,Portugal,Instituto Superior de Entre Douro e Vouga
426,United Kingdom,Falmouth University
427,Armenia,Mehrabyan Medical Institute and Medical College
428,Czech Republic,Palacky University
429,Canada,Southern Alberta Institute of Technology
430,China,Jilin University
431,Czech Republic,University of New York in Prague
432,Cyprus,Cyprus International Institute of Management (CIIM)
433,Mexico,Universidad del Valle del Bravo
434,Costa Rica,Universidad Latina de Costa Rica
435,Sweden,Free University Stockholm
436,China,Xijiang University
437,China,Yunnan University
438,Sweden,Mälardalen University
439,Indonesia,Politeknik Negeri Lhokseumawe
440,Poland,Medical Academy in Wroclaw
441,Indonesia,Universitas Methodist Indonesia
442,China,Northeast Forest University
443,Portugal,Instituto Politécnico de Tomar
444,South Africa,University of KwaZulu-Natal
445,Sweden,Mälardalen University
446,Russia,Belgorod State University
447,Malaysia,Shahputra College
448,China,University of Jinan
449,Egypt,Higher Technological Institute
450,Belarus,Academy of the Ministry of Internal Affairs of the Republic of Belarus
451,Uganda,Gulu University
452,Bulgaria,University of Chemical Technology and Metallurgy
453,China,China University of Mining Technology - Beijing
454,Colombia,"Corporación Educativa Mayor del Desarrollo ""Simón Bolivar"""
455,Russia,Surgut State University
456,Mongolia,Orkhon University
457,Ireland,National University of Ireland
458,Indonesia,Universitas Kristen Petra
459,Czech Republic,Technical University of Liberec
460,Chile,"Universidad Técnica ""Federico Santa María"""
461,Russia,Northern State Medical University
462,Peru,Universidad Nacional de Tumbes
463,Brazil,Universidade São Francisco
464,China,Shanghai Jiaotong University
465,Russia,Kuban State University of Agriculture
466,China,Hunan University
467,Egypt,Future University
468,Uzbekistan,Tashkent State University of Oriental Studies 
469,Sweden,University College of Borås
470,Indonesia,Universitas Gadjah Mada
471,Poland,West Pomeranian Business School in Szczecin
472,Indonesia,Universitas Lampung
473,Russia,Moscow Power Engineering Institute (Technical University)
474,Peru,Universidad de Huánuco
475,Poland,"Music Academy ""Fryderyk Chopin"" in Warszaw"
476,Portugal,Universidade Independente
477,Bulgaria,American University in Bulgaria
478,China,Shenzhen University
479,Russia,Astrahan State Technical University
480,Greece,Athens Laboratory of Business Administration (ALBA)
481,China,Nanjing University of Posts and Telecommunications
482,Poland,University of Gdansk
483,Philippines,Cagayan State University
484,China,Hubei University
485,Portugal,Instituto Superior de Entre Douro e Vouga
486,Sweden,Mälardalen University
487,China,Chongqing University
488,Germany,Universität Stuttgart
489,Portugal,"Instituto de Artes Visuais, Design e Marketing - IADE"
490,Russia,Komsomolsk-on-Amur State Technical University
491,China,Zhengzhou Grain University
492,France,Université Henri Poincaré (Nancy I)
493,Peru,Universidad Tecnológica del Peru
494,Indonesia,Politeknik Negeri Jakarta
495,Poland,University of Finance and Management in Bialystok
496,Russia,St. Petersburg State University of Civil Aviation
497,Poland,Technical University of Warsaw
498,Russia,Togliatti State University
499,Belarus,Grodno State University Yanka Kupaly
500,China,Heilongjiang August 1st Reclamation University
501,China,Sichuan University
502,Norway,Norwegian School of Management BI
503,Thailand,Yonok University
504,Indonesia,Universitas Islam Nusantara
505,Colombia,Universidad Cooperativa de Colombia
506,Argentina,Universidad de Belgrano
507,Canada,Saskatchewan Indian Federated College
508,Philippines,Colegio de San Juan de Letran
509,China,Beijing Institute of Technology
510,Croatia,Zagreb School of Economics and Management
511,Poland,Technical University of Czestochowa
512,China,Shanghai University of Finance and Economics
513,Philippines,University of the Immaculate Conception
514,China,Hehai University
515,Albania,"University of Shkodra ""Luigj Gurakuqi"""
516,Peru,Universidad Nacional de Educación Enrique Guzmán y Valle
517,South Korea,Chonnam National University
518,Japan,Kobe Women's University
519,South Africa,Nelson Mandela Metropolitan University
520,Afghanistan,Al-Birony University
521,China,Xi'an University of Architecture and Technology
522,Philippines,University of the Visayas
523,Sweden,Uppsala University
524,Uruguay,Universidad de la Empresa (UDE)
525,China,Central South Forestry University
526,Sweden,Linköping University
527,China,Xinghai Conservatory of Music
528,Brazil,Universidade Federal do Rio Grande do Norte
529,Honduras,Universidad de San Pedro Sula
530,China,Huaihai Institute of Technology
531,France,Université Paris-Sorbonne (Paris IV)
532,China,Beijing Union University
533,China,Shandong Economic University
534,Indonesia,Institut Teknologi Adhi Tama Surabaya
535,Uruguay,Universidad Católica del Uruguay
536,Indonesia,"Universitas Pembangunan Nasional ""Veteran"" East Java"
537,Poland,Agricultural University of Szczecin
538,Ivory Coast,Université d'Abobo-Adjamé
539,Serbia,European University
540,United States,Trinity College of Vermont
541,Portugal,Universidade do Algarve
542,Malaysia,"Curtin University of Technology, Sarawak Campus"
543,France,Ecole d'Architecture de Nancy
544,Poland,Medical Academy Karol Marcinkowski in Poznan
545,Russia,St. Petersburg State Medical Academy
546,Greece,Aegean University
547,Swaziland,University of Swaziland
548,Haiti,Université Notre Dame d'Haïti
549,Portugal,"Instituto de Artes Visuais, Design e Marketing - IADE"
550,Spain,Universidad Católica de Valencia
551,Brazil,Universidade Federal de Mato Grosso do Sul
552,Yemen,Al-Nasser University
553,China,Beijing Union University
554,China,China Foreign Affairs University
555,Japan,Bunka Women's University
556,Greece,Technical University of Crete
557,Portugal,Instituto Politécnico do Cávado e do Ave
558,Thailand,King Mongkut's University of Technology Ladkrabang
559,Japan,St. Luke' s College of Nursing
560,Indonesia,Universitas Advent Indonesia
561,Indonesia,Politeknik Negeri Bandung
562,Poland,Technical University of Cracow
563,Guatemala,Universidad Mariano Gálvez
564,Brazil,Faculdade Italo Brasileira
565,Iraq,Komar University of Science and Technology
566,Philippines,University of Southeastern Philippines
567,Portugal,Universidade Fernando Pessoa
568,China,Shanghai Lixin University of Commerce
569,Finland,University of Art and Design Helsinki
570,Indonesia,Universitas Simalungun
571,Indonesia,Universitas Kristen Petra
572,Philippines,Centro Escolar University
573,Greece,Technical University of Crete
574,Russia,Bashkir State Pedagogical University named After M. Akmullah
575,Japan,Eichi University
576,China,South China University of Technology
577,Greece,Technological Education Institute of Mesologgi
578,Syria,Al-Wataniya Private University
579,Mongolia,Mongolian State University of Agriculture
580,France,Université du Littoral Cote d'Opale
581,Philippines,Saint Paul University
582,Kenya,Egerton University
583,Iran,Guilan University
584,China,Zhengzhou Grain University
585,China,Shaoguan University
586,Philippines,University of Asia and the Pacific
587,Russia,Moscow University Touro
588,Syria,Wadi International University
589,Czech Republic,"University of Northern Virginia, Prague Campus"
590,Indonesia,Universitas Islam Riau
591,Thailand,Ramkhamhaeng University
592,United States,"Benedictine University, Springfield College in Illinois"
593,China,Sichuan International Studies University
594,Luxembourg,International University Institute of Luxembourg
595,Poland,Warsaw School of Information Technology
596,China,Nanchang University
597,Russia,Saratov State Socio-Economic University
598,Russia,Southern Ural State University
599,Indonesia,Universitas Islam Sumatera Utara
600,Canada,"École nationale d'administration publique, Université du Québec"
601,Madagascar,Université d'Antsiranana
602,Philippines,University of the Philippines Visayas - Cebu High School
603,Portugal,Instituto Politecnico do Porto
604,Indonesia,Universitas Nasional Pasim
605,Germany,Friedrich-Schiller Universität Jena
606,Ukraine,Ukrainian Academy of Banking
607,France,Ecole Européen des Affaires
608,Peru,Universidad Peruana Union
609,Indonesia,Universitas Kristen Satya Wacana
610,France,Université Michel de Montaigne (Bordeaux III )
611,Spain,Universidad de Vigo
612,Mexico,Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM)
613,Cuba,"Universidad Pedagógica ""José Martí"", Camagüey"
614,Cameroon,Université de Yaoundé II
615,Equatorial Guinea,Universidad Nacional de Guinea Ecuatorial
616,Indonesia,Universitas Madura
617,North Korea,Pyongyang University of Science and Technology
618,Tajikistan,Tajik National University
619,Sweden,University College of Trollhättan/Uddevalla
620,Paraguay,Universidad Comunera
621,Colombia,Fundación Universitaria San Martín
622,Jamaica,"University of the West Indies, Mona"
623,Comoros,New England School of Law
624,Indonesia,Universitas Lampung
625,Indonesia,Universitas Tarumanagara
626,China,Yangtze University
627,China,Shandong University of Art and Design
628,Luxembourg,International University Institute of Luxembourg
629,Brazil,Centro Universitário Serra dos Órgãos
630,Sweden,Nordic School of Public Health
631,Philippines,Misamis University
632,Brazil,Universidade de Cruz Alta
633,United States,Alfred University
634,Russia,Novgorod State University
635,Palestinian Territory,University of Palestine
636,Slovenia,University of Nova Gorica
637,Colombia,Escuela Colombiana de Ingeniería Julio Garavito
638,Canada,University of Alberta
639,Ukraine,Kiev National University of Construction and Architecture
640,Indonesia,Universitas Terbuka Indonesia
641,Indonesia,Universitas Pembangunan Panca Budi
642,Madagascar,Université de Mahajanga
643,Ukraine,Uzhgorod National University
644,Brazil,Universidade do Rio de Janeiro
645,Egypt,German University in Cairo
646,Russia,Vladimir State University
647,Malaysia,Darul Quran Islamic College University
648,Ireland,University College Dublin
649,Cuba,Universidad de Granma
650,Bulgaria,Military University Shoumen
651,Argentina,"Universidad del Norte ""Santo Tomás de Aquino"""
652,Czech Republic,Brno University of Technology
653,Colombia,Escuela de Ingeniería de Antioquia
654,Brazil,Universidade de Franca
655,France,Université de Toulouse
656,China,Shandong University of Triaditional Chinese Medicine
657,Russia,Syktyvkar State University
658,Mexico,CETYS Universidad
659,Netherlands,De Haagse Hogeschool
660,Russia,Vaganova Academy of Russian Ballet
661,Poland,Pedagogical University of Zielona Gora
662,Morocco,Ecole Superieure des Télécommunications
663,United States,University of Utah
664,Poland,Zachodniopomorska School of Science and Engineering
665,Argentina,Universidad de San Andres
666,Nigeria,Obong University
667,China,Southwest University
668,Vietnam,Ho Chi Minh City University of Foreign Languages and Information Technology
669,Yemen,Thamar University
670,Nigeria,Igbinedion University
671,China,Southwest University of Finance and Economics
672,Brazil,Universidade da Região da Campanha
673,Colombia,Universidad del Cauca
674,Indonesia,Universitas Islam Syekh-Yusuf 
675,Colombia,Escuela de Administración de Negocios
676,China,Southwest University of Political Science and Law
677,Poland,Ryszard Lazarski University of Commerce and Law in Warsaw
678,China,Wenzhou Medical College
679,Poland,Walcz College
680,Russia,Nayanova University
681,Comoros,Military academy of Lithuania
682,Thailand,Krirk University
683,Ireland,Athlone Institute of Technology
684,Philippines,Technological University of the Philippines
685,Philippines,Western Mindanao State University
686,Ukraine,Odessa National Academy of Food Technologies
687,Micronesia,University of Baghdad
688,Netherlands,Dutch Delta University
689,Costa Rica,Universidad Autonoma Monterrey
690,Poland,Leon Kozminski Academy of Entrepreneurship and Mangement
691,China,Ludong University
692,Indonesia,STMIK Sinar Nusantara
693,China,Xiamen University
694,Indonesia,Universitas Negeri Semarang
695,Micronesia,Murni Nursing College
696,Cambodia,Svey Reong University
697,Portugal,European University Portugal
698,Philippines,University of Mindanao
699,Russia,Vologda State Pedagogical University
700,Czech Republic,Czech University of Agriculture Prague
701,Indonesia,Universitas Bhayangkara Surabaya
702,Iran,Malekan Payame Nour University
703,Philippines,Ateneo de Manila University
704,Indonesia,Universitas 17 Agustus 1945 Semarang
705,Sweden,Stockholm Institute of Education
706,Nigeria,Benson Idahosa University
707,China,Shanghai Business School
708,France,Institut des Sciences de l'Ingénieur de Clermont-Ferrand
709,United States,Tomball College
710,South Africa,University of Witwatersrand
711,China,Anhui University
712,Paraguay,Universidad Comunera
713,Panama,Universidad Latina de Panamá
714,China,Guizhou Normal University
715,Poland,University of Technology and Life Sciences
716,Poland,Fine Arts Academy in Katowice
717,Comoros,Armenian State Agrarian University
718,Poland,Maritime University in Szczecin
719,Tajikistan,Tajik Agrarian University
720,Peru,Universidad Nacional de Educación Enrique Guzmán y Valle
721,Japan,Gunma University
722,Portugal,Instituto Politécnico de Viana do Castelo
723,Philippines,Angeles University
724,Portugal,Universidade de Aveiro
725,China,Guangdong Polytechnic Normal University
726,China,Shanxi University
727,Trinidad and Tobago,University of the Southern Caribbean
728,Philippines,National University
729,Sudan,National Ribat University
730,China,Hebei United University
731,Poland,Music Academy in Lodz
732,Russia,Moscow State University of Ecological Engineering
733,Germany,Universität Kassel
